"Município";Idade;Total
"Acauã (PI)";Total;83,11
"Agricolândia (PI)";Total;78,97
"Água Branca (PI)";Total;84,94
"Alagoinha do Piauí (PI)";Total;66,39
"Alegrete do Piauí (PI)";Total;70,79
"Alto Longá (PI)";Total;71,75
"Altos (PI)";Total;83,02
"Alvorada do Gurguéia (PI)";Total;82,52
"Amarante (PI)";Total;77,91
"Angical do Piauí (PI)";Total;81,85
"Anísio de Abreu (PI)";Total;77,16
"Antônio Almeida (PI)";Total;83,05
"Aroazes (PI)";Total;75,91
"Aroeiras do Itaim (PI)";Total;65,37
"Arraial (PI)";Total;76,25
"Assunção do Piauí (PI)";Total;68,70
"Avelino Lopes (PI)";Total;81,10
"Baixa Grande do Ribeiro (PI)";Total;85,09
"Barra D'Alcântara (PI)";Total;78,09
"Barras (PI)";Total;75,04
"Barreiras do Piauí (PI)";Total;83,83
"Barro Duro (PI)";Total;76,64
"Batalha (PI)";Total;74,75
"Bela Vista do Piauí (PI)";Total;84,28
"Belém do Piauí (PI)";Total;70,68
"Beneditinos (PI)";Total;73,81
"Bertolínia (PI)";Total;83,36
"Betânia do Piauí (PI)";Total;71,36
"Boa Hora (PI)";Total;71,66
"Bocaina (PI)";Total;82,47
"Bom Jesus (PI)";Total;88,10
"Bom Princípio do Piauí (PI)";Total;77,32
"Bonfim do Piauí (PI)";Total;70,53
"Boqueirão do Piauí (PI)";Total;78,43
"Brasileira (PI)";Total;75,24
"Brejo do Piauí (PI)";Total;74,17
"Buriti dos Lopes (PI)";Total;76,54
"Buriti dos Montes (PI)";Total;76,57
"Cabeceiras do Piauí (PI)";Total;73,21
"Cajazeiras do Piauí (PI)";Total;80,96
"Cajueiro da Praia (PI)";Total;80,86
"Caldeirão Grande do Piauí (PI)";Total;74,03
"Campinas do Piauí (PI)";Total;77,40
"Campo Alegre do Fidalgo (PI)";Total;69,65
"Campo Grande do Piauí (PI)";Total;74,45
"Campo Largo do Piauí (PI)";Total;71,80
"Campo Maior (PI)";Total;84,11
"Canavieira (PI)";Total;79,53
"Canto do Buriti (PI)";Total;78,63
"Capitão de Campos (PI)";Total;77,06
"Capitão Gervásio Oliveira (PI)";Total;76,49
"Caracol (PI)";Total;70,49
"Caraúbas do Piauí (PI)";Total;68,74
"Caridade do Piauí (PI)";Total;75,15
"Castelo do Piauí (PI)";Total;76,96
"Caxingó (PI)";Total;70,40
"Cocal (PI)";Total;73,29
"Cocal de Telha (PI)";Total;75,37
"Cocal dos Alves (PI)";Total;69,24
"Coivaras (PI)";Total;77,95
"Colônia do Gurguéia (PI)";Total;83,69
"Colônia do Piauí (PI)";Total;74,89
"Conceição do Canindé (PI)";Total;77,35
"Coronel José Dias (PI)";Total;75,22
"Corrente (PI)";Total;86,72
"Cristalândia do Piauí (PI)";Total;79,27
"Cristino Castro (PI)";Total;82,02
"Curimatá (PI)";Total;87,41
"Currais (PI)";Total;79,39
"Curralinhos (PI)";Total;78,62
"Curral Novo do Piauí (PI)";Total;73,78
"Demerval Lobão (PI)";Total;85,44
"Dirceu Arcoverde (PI)";Total;76,19
"Dom Expedito Lopes (PI)";Total;81,03
"Domingos Mourão (PI)";Total;76,45
"Dom Inocêncio (PI)";Total;80,71
"Elesbão Veloso (PI)";Total;75,14
"Eliseu Martins (PI)";Total;80,56
"Esperantina (PI)";Total;78,04
"Fartura do Piauí (PI)";Total;74,23
"Flores do Piauí (PI)";Total;74,15
"Floresta do Piauí (PI)";Total;65,32
"Floriano (PI)";Total;89,80
"Francinópolis (PI)";Total;70,96
"Francisco Ayres (PI)";Total;73,82
"Francisco Macedo (PI)";Total;72,66
"Francisco Santos (PI)";Total;77,49
"Fronteiras (PI)";Total;76,33
"Geminiano (PI)";Total;73,37
"Gilbués (PI)";Total;82,65
"Guadalupe (PI)";Total;86,56
"Guaribas (PI)";Total;73,39
"Hugo Napoleão (PI)";Total;74,28
"Ilha Grande (PI)";Total;80,17
"Inhuma (PI)";Total;76,73
"Ipiranga do Piauí (PI)";Total;81,87
"Isaías Coelho (PI)";Total;72,33
"Itainópolis (PI)";Total;71,56
"Itaueira (PI)";Total;78,78
"Jacobina do Piauí (PI)";Total;71,82
"Jaicós (PI)";Total;68,92
"Jardim do Mulato (PI)";Total;72,70
"Jatobá do Piauí (PI)";Total;76,04
"Jerumenha (PI)";Total;80,84
"João Costa (PI)";Total;77,11
"Joaquim Pires (PI)";Total;73,31
"Joca Marques (PI)";Total;69,18
"José de Freitas (PI)";Total;81,10
"Juazeiro do Piauí (PI)";Total;77,51
"Júlio Borges (PI)";Total;86,60
"Jurema (PI)";Total;71,90
"Lagoinha do Piauí (PI)";Total;79,92
"Lagoa Alegre (PI)";Total;77,46
"Lagoa do Barro do Piauí (PI)";Total;78,92
"Lagoa de São Francisco (PI)";Total;75,88
